SN,smiles,bandgap_chain
792,[*]C=Cc1ccc(Oc2ccc(C=Cc3cc([*])ncn3)cc2)cc1,3.0294
793,[*]Nc1ccc([*])c2ccccc12,3.0325
794,[*]c1ccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)cc1,3.0336
795,[*]c1cc([*])c(O)c(C=Nc2ccc(Cl)cc2)c1,3.0338
796,[*]c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5cccc(Oc6cccc7c6C(=O)N([*])C7=O)c5)c4C3=O)cc2)cc1,3.034
797,[*]c1cc(Br)c(Oc2c(Br)cc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2Br)c(Br)c1,3.034
798,[*]Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C([*])=O)cc5)cc4F)c(F)c3)cc2)c(Cl)cc1Cl,3.0348
799,[*]Nc1cc(Cl)c([*])cc1Cl,3.035
800,[*]C(=O)NNC(=O)c1cnc([*])cn1,3.036
801,[*]Nc1ccc(NC(=O)c2cc(C([*])=O)c(C(=O)O)cc2C(=O)O)cc1,3.0363
802,[*]c1ccc(-c2nc3ccc(-c4ccc5nc([*])c(-c6ccccc6)nc5c4)cc3nc2-c2ccccc2)cc1,3.0402
803,[*]CC(=S)CO[*],3.0406
804,[*]NNC(=O)c1cccc(C(=O)NNC(=S)c2cccc(C([*])=S)c2)c1,3.0452
805,[*]c1ccc([*])c2nc(CCCCCCC)c(CCCCCCC)nc12,3.0507
806,[*]Nc1cc(Br)c([*])cc1Br,3.0526
807,[*]C(=O)c1ccc2nc(-c3ccc(-c4nc5ccc([*])cc5nc4-c4ccccc4)cc3)c(-c3ccccc3)nc2c1,3.0546
808,[*]OC1=CC(=O)C([*])=CC1=O,3.0549
809,[*]c1cc(N=Nc2ccc(S(=O)(=O)O)cc2)cc([*])c1O,3.057
810,[*]c1ccc(-c2ccc(-c3ccc(-c4cnc5ccc(-c6ccc7ncc([*])nc7c6)cc5n4)cc3)cc2)cc1,3.0581
811,[*]c1cccc(-c2nc3cc(-c4ccc5nc([*])c(-c6ccc7ccccc7c6)nc5c4)ccc3nc2-c2ccc3ccccc3c2)c1,3.0593
812,[*]N1CCC(CCc2ccc(N3C(=O)c4ccc(N5C(=O)C(=O)N([*])C5=O)cc4C3=O)cc2)CC1,3.0606
813,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc([*])cc4C3=O)nc1)C2=O,3.0618
814,[*]c1cc([*])c(O)c(C=Nc2ccc(N3CCOCC3)cc2)c1,3.062
815,[*]Oc1ccc(NC(=C(C#N)C#N)c2ccc3cc(C(Nc4ccc([*])cc4)=C(C#N)C#N)ccc3c2)cc1,3.062
816,[*]Oc1ccc(Oc2ccc(NC(=O)c3ccc(Oc4ccc(C(=O)Nc5ccc([*])cc5)c(C(=O)O)c4)cc3C(=O)O)cc2)cc1,3.0627
817,[*]C1=NC2=CC([*])C=CC2=C1,3.0661
818,[*]C=C1CCCC(=Cc2ccc([*])cc2)C1=O,3.068
819,[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(S3)=CC=C3[*],3.0681
820,[*]c1cc(N=Nc2ccc(OC)cc2)cc([*])c1O,3.0692
821,[*]C(=O)Nc1ccc(Cc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,3.0708
822,[*]c1ccc(Oc2ccc(-c3cnc4cc(Oc5ccc6nc([*])cnc6c5)ccc4n3)cc2)cc1,3.0731
823,[*]c1ccc(-c2ccc(N(c3ccccc3)c3ccc4ccc(N([*])c5ccccc5)cc4c3)cc2)cc1,3.0776
824,[*]Nc1ccc(NC(=O)c2ccc(C(=O)c3ccc(C([*])=O)c(C(=O)O)c3)cc2C(=O)O)cc1,3.0780000000000003
825,[*]c1ccc(N2C(=O)c3ccc(-c4cccc5c4C(=O)N([*])C5=O)cc3C2=O)cc1,3.0789
826,[*]C(=O)c1ccc2nc(-c3ccc(-c4cnc5cc([*])ccc5n4)cc3)cnc2c1,3.0794
827,[*]C(OC)=C(OC)c1ccc([*])cc1,3.0807
828,[*]c1ccc(-c2nc3cc(-c4ccc5oc([*])nc5c4)ccc3o2)cc1,3.0845
829,[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(=S)[*],3.0860000000000003
830,[*]Oc1cc(Oc2ccc(C(C)(C)c3ccc([*])cc3)cc2)cc(C(=O)Oc2ccc(N=Nc3ccc(C#N)cc3)cc2)c1,3.0878
831,[*]NC(=S)Sc1cc(N)nc([*])n1,3.0878
832,CC(=S)OC(=S),3.0882
833,[*]c1ccc(C)c(N2C(=O)c3ccc(S(=O)(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1,3.0894
834,[*]C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c([*])cc2OCCNCCCC)cc1OCC(CC)CCCC,3.0922
835,[*]c1cc(OCCCC)c([*])s1,3.0949
836,[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4ccc(-c5nc6cc([*])ccc6[nH]5)cc4)nc3c2)c1,3.0951
837,[*]Oc1ccc(OC(=O)C=Cc2ccc(C=CC([*])=O)cc2)cc1,3.0952
838,[*]NC(=S)C(S1)=CC=C1O[*],3.0956
839,[*]c1cc(C)c(-c2c(C)cc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2C)c(C)c1,3.0985
840,[*]CCOCCOC(=O)CC(=CC(=O)O[*])c1cc(C)ccc1OC,3.1
841,[*]Nc1ccc(NC(=O)c2ccc(NC(=O)c3cc(NC(=O)C45CC6CC(CC(C6)C4)C5)cc(C([*])=O)c3)cc2)cc1,3.1016
842,[*]c1ccc(-c2nnc([*])o2)c(OCCCCC)c1,3.1025
843,[*]CC(S1)=CC=C1C(=O)C(=S)[*],3.1043
844,[*]OC(=O)c1ccc(C(=O)Oc2ccc3c(c2)Oc2cc([*])ccc2C32c3ccccc3-c3ccccc32)cc1,3.1064
845,[*]Oc1ccc(SSc2ccc([*])cc2)cc1,3.1064
846,[*]NC(=S)C(C=C1)=CC=C1O[*],3.1065
847,[*]Nc1ccc(NC(=O)c2cc(SCCCCCCCC)c(C([*])=O)cc2SCCCCCCCC)cc1,3.1071
848,[*]c1ccc(-c2cnc3cc(-c4ccc5nc([*])cnc5c4)ccc3n2)cc1,3.1087
849,[*]c1ccc(Oc2ccc(-c3cnc4ccc(-c5ccc6nc([*])cnc6c5)cc4n3)cc2)cc1,3.1097
850,[*]C(=O)Nc1cccc(C(=O)Nc2cccc(NC(=O)c3ccc4[nH]c(-c5ccc(-c6nc7cc([*])ccc7[nH]6)cc5)nc4c3)c2)c1,3.111
851,C(F)(F)C(F)(F)CC(=S),3.1113
852,[*]c1nc2cc3sc(-c4cc(OCCCC)c([*])cc4OCCCC)nc3cc2s1,3.1128
853,[*]c1ccc(C(=O)CNCCNCC(=O)c2ccc(S([*])(=O)=O)cc2)cc1,3.1138
854,[*]c1ccc(Oc2cccc(Oc3ccc(N4C(=O)CC(=O)N([*])C4=S)cc3)c2)cc1,3.1165
855,[*]CCOc1ccc(C(=O)OC(=O)c2ccc(C(=O)OC(=O)c3ccc(O[*])c(OC)c3)cc2)cc1OC,3.117
856,[*]CCOCCOCCOC(=O)c1ccc(N=Nc2ccc(C(=O)O[*])cc2)cc1,3.1178
857,[*]C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc([*])ccc45)c(O)ccc3c2)cc1OCCCCCC,3.1184
858,[*]c1cc2sc([*])c(C)c2s1,3.1198
859,[*]Nc1ccc([*])cc1S(=O)(=O)O,3.1216
860,[*]Nc1cc(C)c([*])cc1OC,3.1262
861,[*]c1ccc2cc(-c3nc4cc5sc([*])nc5cc4s3)ccc2c1,3.1272
862,[*]CC([*])(C)C(=O)Oc1ccccc1[N+](=O)[O-],3.1276
863,[*]Nc1cccc2c(NC(=O)c3cccc(C([*])=O)c3)cccc12,3.1281
864,[*]c1ccc(-c2cnc3cc(S(=O)(=O)c4ccc5nc([*])cnc5c4)ccc3n2)cc1,3.1285
865,[*]c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4cc(-c5ccc6nc([*])cc(-c7ccccc7)c6c5)ccc4n3)cc2)cc1,3.131
866,[*]c1ccc(-c2cnc3ccc(Oc4ccc5ncc([*])nc5c4)cc3n2)cc1,3.1316
867,[*]c1ccc(Cc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)c(C(C)(C)C)c2)cc1C(C)(C)C,3.1365
868,[*]Nc1ccc([*])cc1CCC,3.137
869,[*]CCN(CCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1)c1ccc(C=C2NC(=O)NC2=O)cc1,3.1402
870,[*]Oc1ccc(C(=O)CNc2cccc(NCC(=O)c3ccc([*])cc3)c2)cc1,3.1409
871,[*]c1ccc(C(c2ccc(-c3nc4ccc(-c5ccc6nc([*])oc6c5)cc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,3.141
872,[*]Nc1ccc(-c2ccc(NC(=O)c3cc(C(=O)O)c(C([*])=O)cc3C(=O)O)cc2)cc1,3.1431
873,[*]Nc1ccc([*])cc1CC,3.1433
874,[*]c1ccc(Oc2ccc(Oc3ccc(N4C(=O)CC(=O)N([*])C4=S)cc3)cc2)cc1,3.1443
875,[*]c1ccc(Oc2ccc(-c3nc4cc(-c5ccc6nc(-c7ccccc7)c([*])nc6c5)ccc4nc3-c3ccccc3)cc2)cc1,3.1454
876,[*]C(=O)Nc1cccc(C(=O)Nc2cccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc([*])ccc7[nH]6)c5)nc4c3)c2)c1,3.1483
877,[*]Oc1ccc(OC(=O)c2cc(OCCCCCCCCCCCC)c(C([*])=O)cc2OCCCCCCCCCCCC)cc1,3.1513
878,[*]c1cc2cc([*])sc2s1,3.153
879,[*]c1ccc(-c2ccc(-c3cc(SCCCCCCCCCC)c([*])s3)cc2)cc1,3.1535
880,[*]Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc([*])cc3)c2)cc1,3.1562
881,[*]c1ccc(-c2nc3cc(Oc4ccc5nc([*])c(-c6ccccc6)nc5c4)ccc3nc2-c2ccccc2)cc1,3.1583
882,[*]CCCC(=O)Nc1ccc(NC(=O)CCCOC(=O)c2ccc(-c3ccc(C(=O)O[*])cc3)cc2)cc1,3.1592
883,[*]Nc1ccc(Cc2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,3.1602
884,[*]CNC(S1)=CC=C1C(=O)[*],3.1605
885,[*]Nc1ccc(-c2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,3.1615
886,[*]CCOCCOCCOc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(O[*])cc3)cc2)cc1,3.1624
887,[*]C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)n1,3.1626
888,[*]c1cc([*])c(O)c(C=Nc2ccc(S(=O)(=O)O)cc2)c1,3.1631
889,[*]c1ccc(C(=O)c2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1,3.1643
890,[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],3.1679
891,[*]c1ccc(-c2ccc(-c3ccc(-c4nc5cc6sc([*])nc6cc5s4)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,3.1695
892,[*]c1ccc(-c2nc3ccc(Oc4ccc5nc([*])c(-c6ccccc6)nc5c4)cc3nc2-c2ccccc2)cc1,3.1698
893,[*]c1ccc2cc(-c3nc4cc5nc([*])[nH]c5cc4[nH]3)ccc2c1,3.1698
894,[*]CCN(CCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1)c1ccc(-c2c(NCCCO)c(=O)c2=O)cc1,3.1713
895,[*]Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc([Si](C)(C)c4ccc(C(=O)Nc5ccc(C([*])=O)cc5)cc4)cc3)cc2)cc1,3.1713
896,[*]Nc1ccc(-c2ccc(NC(=O)c3cc(C([*])=O)cc(S(=O)(=O)c4ccccc4)c3)cc2)cc1,3.1725
897,[*]c1ccc(Oc2ccc(-c3cnc4cc(-c5ccc6nc([*])cnc6c5)ccc4n3)cc2)cc1,3.1727
898,[*]Nc1ccc(NC(=O)C=Cc2ccc(C=CC([*])=O)cc2)cc1,3.1732
899,[*]c1cccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1,3.1738
900,[*]c1ccc(-c2ccc(-c3ccc(-c4cc(-c5ccccc5)c5cc(-c6ccc7nc([*])cc(-c8ccccc8)c7c6)ccc5n4)cc3)cc2)cc1,3.176
901,[*]c1ccc(-c2ccc(-c3ccc(-c4cc(-c5ccccc5)c5cc(Oc6ccc7nc([*])cc(-c8ccccc8)c7c6)ccc5n4)cc3)cc2)cc1,3.1781
902,[*]C=Cc1cc(CCCCCCCCCC)c(C=Cc2ccc([*])cc2)cc1CCCCCCCCCC,3.1782
903,[*]N=Nc1ccc(C(=O)NCCCCNC(=O)c2ccc([*])cc2)cc1,3.1785
904,[*]CCCCCCCCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O[*])cc3)cc2)cc1,3.1798
905,[*]CC([*])C(=O)OCCCOc1ccc(-c2ccc(C#N)cc2)cc1,3.1806
906,[*]c1ccc(CCCCCCc2ccc(-c3csc(-c4nc([*])cs4)n3)cc2)cc1,3.1824
907,[*]C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,3.1825
908,[*]CCC(S1)=CC=C1C(S2)=CC=C2[*],3.1843
909,[*]C=NCCN=Cc1ccc(Sc2ccc([*])o2)o1,3.1877
910,[*]c1[nH]c([*])c(CC(=O)OC)c1CC(=O)OC,3.1891
911,[*]C=Cc1ccc([*])c(-c2ccc(OCC(CC)CCCC)c3ccccc23)c1,3.1924
912,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C([*])=O)cc3)c(C(C)C)c2)cc1C(C)C,3.1936
913,[*]c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(=O)c5ccc(Oc6ccc(-c7nc8ccccc8n7-c7ccc(-n8c([*])nc9ccccc98)cc7)cc6)cc5)cc4)cc3)cc2)cc1,3.1981
914,[*]Oc1ccc(C2(c3ccc(OC(=O)c4ccc(C([*])=O)cc4)cc3)CCc3ccccc32)cc1,3.1984
915,[*]C(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(-c4nc5ccc([*])cc5nc4-c4ccccc4)cc3)nc2c1,3.1987
916,[*]c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc6nc([*])c(-c7ccccc7)c(-c7ccccc7)c6c5)cc4c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,3.2
917,[*]Oc1ccc(C(=O)Nc2ccc(Cc3ccc(NC(=O)c4ccc(Oc5nc([*])nc(Sc6ccccc6)n5)cc4)cc3)cc2)cc1,3.2006
918,[*]c1cccc(C(c2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)(C(F)(F)F)C(F)(F)F)c1,3.2011
919,[*]c1ccc(-c2ccc(-c3nc4cc(Oc5ccc6nc(-c7ccccc7)c([*])nc6c5)ccc4nc3-c3ccccc3)cc2)cc1,3.2011
920,[*]c1cc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c(O)cc1O,3.2012
921,[*]c1ccc([*])c2nc(-c3ccccc3)c(-c3ccccc3)nc12,3.2043
922,[*]c1ccc(-c2csc(-c3nc([*])cs3)n2)cc1,3.2084
923,[*]CCC(=O)C(=S)[*],3.2093
924,[*]CCN(CCOC(=O)c1cccc(C(=O)O[*])c1)c1ccccc1,3.2108
925,[*]Nc1cc(NC(=O)c2ccc(C([*])=O)cc2)cc(C(=O)OCCOc2ccc(C=CC(=O)c3ccccc3)cc2)c1,3.212
926,[*]Oc1ccc(NC(=O)c2ccc(-c3ccc(C(=O)Nc4ccc(Oc5ccc(C6(c7ccc([*])cc7)CC7CCC6C7)cc5)cc4)cc3)cc2)cc1,3.2128
927,[*]c4ccc(C3Nc2cc1NC([*])Oc1cc2O3)cc4,3.2133
928,[*]c1c(C)cc(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C,3.2146
929,[*]c1ccc(C(c2ccccc2)(c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2)C(F)(F)F)cc1,3.2149
930,[*]c1cncc(-c2nc3ccc(-c4ccc5nc([*])sc5c4)cc3s2)c1,3.2155
931,[*]C(=O)OCCOC(=O)c1ccc([*])o1,3.2205
932,[*]c1ccc([*])c2nccnc12,3.225
933,[*]Cc1c(C)c(C)c(CSC(=O)C(=O)S[*])c(C)c1C,3.2265
934,[*]CCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O[*])cc2)cc1,3.2271
935,[*]c1cccc(-c2ccc(-c3ccc([*])s3)s2)n1,3.2272
936,[*]Nc1ccc(-c2ccc(NC(=O)c3cc(NC(=O)c4ccncc4)cc(C([*])=O)c3)cc2)cc1,3.2276
937,[*]c1ccc(-c2nc3cc(-c4ccc5nc(-c6ccccc6)c([*])nc5c4)ccc3nc2-c2ccccc2)cc1,3.2285
938,[*]c1ccc(-c2ccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,3.23
939,[*]c1ccc(-c2cc(-c3ccccc3)c3cc(-c4ccc5nc([*])cc(-c6ccccc6)c5c4)ccc3n2)cc1,3.236
940,[*]Oc1ccc(NC(=O)c2cc(NC(=O)c3ccncc3)cc(C(=O)Nc3ccc([*])cc3)c2)cc1,3.2421
941,[*]Nc1ccc(Cc2ccc(NC(=O)c3cc(C([*])=O)cc(N4C(=O)C5C6CCC(C6)C5C4=O)c3)cc2)cc1,3.2426
942,C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N,3.2433
943,[*]C=Nc1cccc(N=Cc2cccc([*])n2)c1,3.2461
944,[*]CCOCCOCCOc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(O[*])cc3)c2)cc1,3.2482
945,[*]c1cc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)cc(C(F)(F)F)c1,3.2484
946,[*]Nc1ccc(C(C)(C)c2ccc(NC(=O)c3cc(C([*])=O)cc(S(=O)(=O)c4ccccc4)c3)cc2)cc1,3.2508
947,[*]Oc1ccc(Oc2ccc(C(=O)c3ccccc3-c3ccccc3C(=O)c3ccc([*])cc3)cc2)cc1,3.2515
948,[*]C=Cc1cccc(C=Cc2cc([*])nc(-c3ccccc3)n2)c1,3.2515
949,[*]c1cccc(N2C(=O)c3ccc(Oc4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)N([*])C7=O)cc5)cc4)cc3C2=O)c1,3.252
950,[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],3.2523
951,[*]CCCCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O[*])cc3)cc2)cc1,3.2533
952,[*]C(=O)Nc1cc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)cc(-c2nc3ccccc3[nH]2)c1,3.2549
953,[*]CC([*])C(=O)c1ccc(Br)cc1,3.2553
954,[*]C(=O)c1ccc(N=Nc2ccc(C(=O)N3C(=O)N([*])C(CC)(CC)C3=O)cc2)cc1,3.2554
955,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)C=CC([*])=O)cc2)cc1,3.2554
956,[*]CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O[*])cc3)c(C(=O)OCC=C)c2)cc1,3.2573
957,[*]CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O[*])cc2)cc1,3.2582
958,[*]c1ccc(Oc2ccc(-c3cc(OCCCCCC)c(-c4ccc(Oc5ccc(-c6nnc([*])o6)cc5)cc4)cc3OCCCCCC)cc2)cc1,3.2584
959,[*]C=Cc1ccc([*])c2c1C(=O)OC2=O,3.2587
960,[*]C(Br)=C(c1ccccc1)c1ccc([*])cc1,3.2592
961,[*]c1cccc(-c2nc3ccc(-c4ccc5nc([*])oc5c4)cc3o2)c1,3.2597
962,C(F)(F)C(F)(F)NC(=S),3.2642
963,[*]Oc1ccc(C(CC)(CC)c2ccc(OC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,3.2648
964,[*]Oc1c(C)c(C)c(Oc2ccc(NC(=O)c3ccc(C(=O)Nc4ccc([*])cc4)cc3)cc2)c(C)c1C,3.2654
965,[*]Nc1ccc([*])cc1C(C)C,3.2671
966,[*]c1ccc(Oc2ccc(-c3nc4cc5sc([*])nc5cc4s3)cc2)cc1,3.2699
967,[*]c1cc(C(=O)NCCCC)cc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1,3.2713
968,[*]CC(S1)=CC=C1C(=S)O[*],3.272
969,[*]NC(=O)NC(S1)=CC=C1[*],3.2728
970,[*]C=Nc1ccc(S(=O)(=O)c2ccc(N=Cc3ccc(Sc4ccc([*])o4)o3)cc2)cc1,3.2744
971,[*]c1ccc(C(c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,3.2749
972,[*]Cc1ccc(-c2ccc(CSC(=O)C(=O)S[*])cc2)cc1,3.2752
973,[*]C=C([*])C(=O)CC,3.276
974,[*]NC(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],3.2765
975,[*]CC(C=C1)=CC=C1CC(=S)[*],3.2889
976,[*]Oc1ccc(Oc2ccc(OC(=O)c3cccc(C([*])=O)c3)cc2)cc1,3.2894
977,[*]c1ccc(-c2cnc3cc(Oc4ccc5nc([*])cnc5c4)ccc3n2)cc1,3.2905
978,[*]c1ccc(-c2cnc3ccc(S(=O)(=O)c4ccc5ncc([*])nc5c4)cc3n2)cc1,3.2921
979,[*]C=Cc1cc(Cl)c([*])cc1Cl,3.2933
980,[*]c1ccc2c(c1)c1cc([*])ccc1n2CC1CO1,3.295
981,[*]c1ccc(Sc2ccc(-c3nc4ccc(-c5ccc6nc([*])c(-c7ccccc7)nc6c5)cc4nc3-c3ccccc3)cc2)cc1,3.2954
982,[*]c1ccc(-c2csc(-c3cccc(-c4nc([*])cs4)n3)n2)cc1,3.2967
983,[*]c1cc([*])c(O)c(C=O)c1,3.2968
984,[*]C(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(-c4nc5cc([*])ccc5nc4-c4ccccc4)cc3)nc2c1,3.2971
985,[*]c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)N([*])C7=O)cc5)cc4C3=O)cc2)cc1,3.2983
986,[*]c1ccc(-n2ccc(-c3ccc(-c4ccn([*])n4)cc3)n2)cc1,3.3009
987,[*]Nc1ccc(NC(=O)c2ccc(C([*])=O)cc2)cc1,3.3019
988,[*]c1sc([*])c(OCCCCCC)c1C,3.303
989,[*]c1sc([*])c(OCCCC)c1OC,3.3038
990,[*]c1cccc(-c2nc3ccc(-c4ccc5nc([*])sc5c4)cc3s2)c1,3.3054
991,[*]Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(Oc4ccc(C5(c6ccc([*])cc6)CC6CCC5C6)cc4)cc3)cc2)cc1,3.3054
992,[*]CC(S1)=CC=C1CC(=S)[*],3.3080000000000003
993,[*]c1sc([*])c(C)c1C,3.3114
994,[*]C(=O)Nc1cccc(NC(=O)c2ccc(-c3nc4cc([*])ccc4[nH]3)cc2)c1,3.3128
995,[*]CCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O[*])cc3)c(OCCCCC)c2)cc1,3.3136
996,[*]C=CC(=C(C)C)C([*])=C(C)C,3.3162
997,[*]c1ccc(-c2cnc3ccc(-c4ccc5ncc([*])nc5c4)cc3n2)cc1,3.3175
998,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)O[*],3.3176
999,[*]NC(S1)=CC=C1C(S2)=CC=C2C[*],3.3199
1000,[*]c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)nc1,3.3218
1001,[*]C=Cc1cc(CCCCCC)c([*])s1,3.3225
1002,[*]NNC(=S)c1ccc(C([*])=S)cc1,3.3241
1003,[*]c1ccc2c(c1)Cc1cc([*])ccc1-2,3.3245
1004,[*]Cc1nc2cc3sc([*])nc3cc2s1,3.3248
1005,[*]c1ccc(Oc2ccc(-c3cnc4ccc(-c5ccc6ncc([*])nc6c5)cc4n3)cc2)cc1,3.3274
1006,[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],3.3276
1007,[*]Oc1ccc(Nc2ccc(C(=O)c3ccc(C(=O)c4ccc(Nc5ccc([*])cc5)cc4)cc3)cc2)cc1,3.3281
1008,[*]c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)C([*])(C(F)(F)F)C(F)(F)F)cc1)C2=O,3.3299
1009,[*]Oc1ccc(S(=O)(=O)c2ccc3cc(S(=O)(=O)c4ccc(Oc5c(C)cc(-c6cc(C)c([*])c(C)c6C)c(C)c5C)cc4)ccc3c2)cc1,3.3303
1010,[*]Nc1cc(OCC)c([*])cc1OCC,3.3328
1011,[*]c1ccc(C(=O)c2ccc(C(=O)c3ccc(Oc4ccc(-c5nn([*])c(=O)c6ccccc56)c(F)c4)cc3)cc2)cc1,3.3331
1012,[*]C(=O)Nc1cccc(NC(=O)c2cccc(NC(=O)c3ccc(-c4nc5cc([*])ccc5[nH]4)cc3)c2)c1,3.3335
1013,[*]N=C(O)N=C([*])N=C(N)N,3.3353
1014,[*]Oc1ccc(C=C2CCC(=Cc3ccc([*])c([N+](=O)[O-])c3)C2=O)cc1[N+](=O)[O-],3.3368
1015,[*]Nc1ccc([*])nc1,3.3373
1016,[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)c1,3.34
1017,[*]c1ccc([*])c2nc(CC)c(CC)nc12,3.3408
1018,O([*])c1cc(cc(CCCCCCCCC)c1)OC(=O)c1c(F)c(ccc1)C(=O)([*]),3.343
1019,[*]c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2C)c(C)c1,3.3433
1020,[*]NC(CCCNC(=O)c1ccc(Cl)cc1)C([*])=O,3.3466
1021,[*]Oc1ccc(S(=O)(=O)c2cccc3c(S(=O)(=O)c4ccc(Oc5ccc(-c6ccc([*])cc6)cc5)cc4)cccc23)cc1,3.3473
1022,[*]CC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],3.3483
1023,[*]CC([*])c1ccc(C(=O)CCN2CCOCC2)cc1,3.3487
1024,[*]C(=O)Nc1nc([*])c(C#N)n1C,3.3492
1025,[*]C=Cc1ccc([*])cc1,3.3499
1026,[*]CC([*])OC(=O)c1cccc(Cl)c1,3.3503
